IdDon;Auteur;Intermediaire;IdBene;Beneficaire;Statut;Nature;Lieu;Formes;Poids;Prix;Informations;Sources
39;Jean sans Peur;;68;Martin Poree;Confesseur du duc;"""Auquel ycelui seigneur par ses lettres donneez a Paris le 14e jour de may 1406 et pour les causes contenues en ycelles lui a ordonne prendre et avoir de lui oultre et par dessus ses gages quil prent continuelement par les escroues de la despense de lostel de mondit seigneur de pencion chacun an tant comme il lui plaira la somme de 120 fr. a ycelle prendre et avoir sur la recepte generale des finances de mondit seigneur a deux termes en lan cest assavoir a la Toussains et lautre au premier jour de may, le premier terme et paiement commencant a la Toussains 1406""";Paris;Pension de 120 fr/an, payée en deux termes (la Toussaint et le premier jour de mai);;;14 May 1406;ADCO, B 1547, f° 81 r°
40;Jean sans Peur;;68;Martin Poree;Confesseur du duc;"""Pour ce paie audit frere Martin sur ce qui lui est deu de sadicte pencion de lan le 24e jour de may 1406 par sa quittance cy rendue avec la coppie des dictes lettres colacionne par maistre Baude des Bordes""";Aucune mention;60 fr. (partie de pension);;;14 May 1406;ADCO, B 1547, f° 81 r°
41;Jean sans Peur;;731;Jean de Nielles;Chevalier, conseiller et chambellan du duc;"""Lequel feu monseigneur le duc de Bourgoingne pere de mondit seigneur des le dernier jour de novembre lan 1401 eust connus ledit chevalier ou second president de sa chambre de conseil a Lille pour tenir le siege en labsence de messire Pierre le Zippe premier president illec a la pension de 600 fr. chacun an a yceulx prendre e avoir a deux termes cest assavoir lune a la saint Jehan Baptiste et lautre au noel ensuivant par les mains du receveur general de Flandres et Dartois lors e qui soit pour le temps advenir si comme toute ces choses et autres sont plus a plain contenues es lettres de feu mon dit seigneur donnee a Arras ledit dernier jour de novembre 1401 desquelle lettres la coppie collacionne a loriginal par lun des secretaires de mon dit seigneur est cy rendu a compt et que dicelli pension le dit chevalier feust assigne sur le dit receveur general de Flandres et Dartois et que a cause dicelle feust deu audit chevalier la somme de 200 fr. depuis le noel 1403 jusques au 27e jour davril 1404 [...] qui sont les deux pais dun terme laquelle somme mon dit seigneur de Bourgoingne a present veult et mande a son dit secretaire ycelles paier audit messire Jehan de Nyelles par ses presentes lettres patentes et donnees a Paris le 15e jour de may lan 1406 par rapport ses dictes lettre""";Paris;Pension de 600 fr./an, payée en deux termes (Saint Jean-Baptiste et Noël), octroyée par Philippe le Hardi. Paiement de 200 fr. par Jean sans Peur;;;15 May 1406;ADCO, B 1543, f° 69 r°
42;Jean sans Peur;;88;Jean d'Aunay, dit Le Gallois d'Aunay;Chevalier et maître d'hôtel du duc et de la duchesse;"""Lequel ycelui seigneur par ses lettres donnees a Paris le 25e jour de may 1406 et pour les causes contenues en ycelles lui a ordonne prendre et avoir de lui de pencion chacun an tant comme il lui plaira oultre et pardessus les gages quil prent par les escroues de la despense de lostel de mondit seigneur la somme de 240 frans a paier a deux termes en lan cest assavoir a la Saint Andrieu dyver et auderrain jour de mau, le premier terme et paiement commencant a ladicte feste de Saint Andrieu 1406. Et parmi ce ledit messire Jehan ne sera tenus de demander a mondit seigneur aucuns dons ou bienffais pour perte de chevaux ne autrement en quelque maniere que ce soit fors seulement en augmentacion de mariage ou rachetement de prison de lui ou daucuns de ses enffans, lesquelz dons ou bienffais se doresenavant par importuite de pryeres ou autrement fais lui estoient que par la maniere que dit est mondit seigneur voeult estre de mil esscu ou valeur""";Paris;Pension de 240 fr/an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 77 r°
43;Jean sans Peur;;15;Jean Pioche;Chevalier et maître d'hôtel du duc;"""Lequel ycelui seigneur par ses lettres donnees a Paris le 25e jour de may lan 1406 et pour les causes contenues en ycelles, lui a ordonne rendre et avoir de lui oultre et pardessus ses gages quil prent par les escroues de la despense de lostel de mondit seigneur, de pencion chacun an tant comme il lui plaira la somme de 240 fr. dor a paier a deux termes en lan cest assavoir a la saint Andry diver et au derrain jour de may, le premier terme et paiement commencant a ladicte feste de Saint Andry 1406. Et parmy ce ledit messire Jehan ne sera tenus de demander a mondit seigneur aucuns dons ou bienffais fors seulement pour semblable cause comme cy devant en la partie de messire Jehan Dannoy lesquelz dons ou bienffais obtenus comme dessus mondit seigneur voeult estre de mille valeur""";Paris;Pension de 240 fr/an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 77 v°
44;Jean sans Peur;;130;Philibert de Saint-Legier;Chevalier et maître d'hôtel du duc;"""Lequel ycelui seigneur par ses lettres donneez a Paris le 25e jour de may lan 1406 et pour les causes contenues en ycelles lui a ordonne prendre et avoir de lui oultre et pardessus ses gages quil prent par les escroues de la despense de lostel de mondit seigneur de pencion chacun an tant comme il lui plaira la somme de 240 fr. dor a paier aux termes et en la maniere que les dis messire Jehan Dannoy et messire Jehan Pioche cy devant et parmy ce ledit messire Philibert ne sera tenus de demander a mondit seigneur aucuns dons ou bienffais pour perte de chevaux ou autrement en quelque maniere que ce soit fors seulement en augmentacion de mariage ou rachatement de prison de lui ou daucuns ses enffans lesquelz dons ou bienffais se doresenavant par importuite de pryeres ou autrement fais lui estoient que par la maniere que dit est mondit seigneur voeult estre de mil esscu ou valeur""";Paris;Pension de 240 fr/an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 77 v° et 78 r°
45;Jean sans Peur;;157;Pierre de Fontenay;Seigneur de Rancé, chevalier et maître d'hôtel du duc;"""Lequel yceli seigneur par ses lettres donneez a Paris le 25e jour de may 1406 et pour les causes contenus en ycelles lui a ordonne prendre et avoir de lui oultre et pardessus ses gages quil prent par les escroues de la despense de lostel de mondit seigneur de pencion chacun an tant comme il lui plaira la somme de 240 fr. dor a paier a deux termes en lan cest assavoir a la Saint Andrieu dyver et au derrain jour de may, le premier terme et paiement commencant a la dicte feste de Saint Andry 1406 et parmy ce le dit messire Pierre ne sera tenus de demander a mondit seigneur aucuns dons ou bienffais fors seulement pour semblable cause contenu cy devant es parties precedens lesquelz dons ou bienffais obtenus autre dessus mondit seigneur voeult estre de mille valeur""";Paris;Pension de 240 fr/an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 78 r° et 78 v°
46;Jean sans Peur;;2162;Jacques de Villers;Ecuyer et échanson du duc;"""Lequel ycelui seigneur par ses lettres donneez a Paris le 25e jour de may 1406 et pour les causes contenues en ycelles lui a ordonnee prendre et avoir de lui oultre et pardessus ses gages quil prent par les escroues de la despence de lostel de mondit seigneur la somme de 160 fr. dor de pencion chacun an tant comme il lui plaira a paier a deux termes en lan cest assavoir a la Saint Andry diver et auderrain jour de may le premier terme et paiement commencant a ladicte feste de Saint Andrieu 1406 et parmy ce ne sera tenus de demander a mondit seigneur aucuns dons comme dessus""";Paris;Pension de 160 fr./an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 78 v°
47;Jean sans Peur;;550;Oudart de L'Espinace;Ecuyer et échanson du duc;"""Auquel semblablement ycelui seigneur par ses lettres patentes donneez a Paris le 25e jour de may 1406 et pour les causes contenues en ycelles a ordonne prendre et avoir de lui oultre et pardessus ses gages prens  par les escroues des gages de lostel de mondit seigneur de pencion chacun an tant comme il lui plaira la somme de 160 fr. dor a paier aux termes et en la maniere contenue cy devant sur la partie de Jacquot de Villers """;Paris;Pension de 160 fr./an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 79 r°
48;Jean sans Peur;;1651;Jean Bateteau;Ecuyer et panetier du duc;"""Auquel yceli seigneur par ses lettres patentes donneez a Paris le 25e jour de lan 1406 et pour les causes contenus en ycelle a semblable ordonne prendre et avoir de lui oultre et pardessus gages prens par les escroues de la despense de lostel de modit seigneur de pencion chacun an tant comme il lui plaira la somme de 160 fr. dor a paier a II termes en lan cest assavoir la Saint Andrieu diver et auderrain jour de may le premier terme commencant a la dicte feste de Saint Andri 1406 et parmi ce ledit Baretau ne sera tenus de demander aucuns dons ou bienffais a mondit seigneur pour perte de chevaux ou autrement fors seulement en augmentacion de mariage ou rachatement de prison de lui ou daucun de ses enffans lesquelz dons ou bienffais se doresenavant par importuinte de prieres ou autrement fais lui estoient que par la maniere que dit est mondit seigneur voeult estre de mil esscu et valeur""";Paris;Pension de 160 fr./an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 79 r° et 79 v°
49;Jean sans Peur;;537;Guyot de Savigny;Ecuyer d'écurie du duc;"""Auquel ycelli seigneur par ses lettres donneez a Paris le 25e jour de may 1406 et pour les causes contenus en ycelle a seblable ordonne prendre et avoir de lui oultre ses gages prins par les escroues de la despense de lostel de mondit seigneur de pencion chacun an tant comme il lui plaira aux deux termes et en la maniere contenue cy devant sur la partie de Jean Baretau la somme de 160 fr. dor""";Paris;Pension de 160 fr./an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 79 v°
50;Jean sans Peur;;967;Etienne Moreau;Contrôleur de la dépense de l'hôtel du duc;"""Auquel ycellui seigneur par ses lettres donneez le dit 25e jour de may 1406 et pour les causes contenus en ycelles a ordonne prendre et avoir de lui oultre et pardessus les gages quil prent par les escroues de la despense de lostel de mondit seigneur de pencion chacun an tant comme il lui plaira la somme de 160 fr. dor a paier a deux termes en lan cest assavoir a la Saint Andrieu dyver et auderrain jour de may, le premier terme et paiement commencant a la dicte feste de Saint Andry 1406 et parmy ce ne sera tenus de demander a mondit seigneur aucuns dons fors pour sembable que contenu est cy dessus et parties precedens""";Paris;Pension de 160 fr./an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 1547, f° 79 v° et 80 r°
51;Jean sans Peur;;23;Girart de Bourbon;Ecuyer d'écurie du duc;"""Copie. Jehan duc de Bourgoingne, Conte de Flandres, Dartois et de Bourgoingne palatin, seigneur de Salins et de Malines. A tous ceux qui ces lettres verront salut. Notre ame et feal escuier descuerie Girard de Bourbon nous a fait remonstrer, disont que les gaiges ordinaires quil prent de nous par les escroes de la despense de notre hostel chacun jour quil nous sert oudit office descuier descuerie lui sont de si petite revenue que sans aucune creue ou pension au regard des frais, missions et despens quil lui convient en maintees manieres supporter en notre service il en icellui ne pourroit honnorablement ainsi que a son dit office appartient soustenir son estat. Savoir faisons que nous considerans les bons et aggreables services que ledit Girart de Bourbon nous a fait longuement et loyalment tant oudit office descuier descuerie comme autrement en pluseurs manieres, fait chacun jour, et mesmement afin quil soit plus estraint et obligie et ait mieulx de quoy y continuer, perseverer et soustenir honnoralement sondit estat en notre service dessus dit, et pour certaines autres causes et consideracions qui adce nous meu et meuvent, a icelluy Girart de Bourbon notre escuier descuerie. Avons ordonne et ordonnons par ces presentes quil ait et preigne oultre et par dessus sesdiz gaiges quil prent de nous par les escroes de la despense de notre devant dit hostel de pension chacun an de nous tant quil nous plaira, la somme de huit vins frans dor a deux termes en lan. Cest assavoir a la saint Andry divers et au derrain jour de may, dont le premier terme et paiement voulons escheoir a la saint Andry diver prouchainement venant. Par ainsi toutefuoies que le dessus nomme Girart de Bourbon ne sera tenus de nous demander aucuns dons ou bienffais pour perte de chevaulx ne autrement en quelque maniere que ce soit, fors seulement en augmentacion de mariage et rachatement de prison de lui ou daucun de ses enffans. Lesquelx dons ou bienffais doresenavant par importunite de prieres ou autrement fais lui estoient par les manieres que dit est . Voulons estre de mil effect et valeur, et desmaintement par ces mesmes presentes mandons et expressement emoingnons a notre ame et feal chancellier present et advenir que les lettres diceulx dons ou bienffais casse, chancelle et mettre au neant. Si donnons en mandement a notre ame et feal conseillier, tresorier et gouverneur general de noz finances present et advenir que la devant dite pension de huit vins frans dor paie, baille et doresenavant delivre ou par aucun de noz Recveurs particuliers face paier, bailler et delivre au devant dit Gerart de Bourbon aux termes et en la maniere dessusdiz. Et par rapportant pour la premier fois seulement vidimus de ces presentes fait soubz le scel autentique ou coppie collacionnee par lun de noz secretaires ou en la chambre de noz comptes avec quictance dudit Girard de chacun terme et paiement. Nous voulons tout ce que ainsi paie lui aura este estre alloue es comptes du paiant et rabatu de sa Recepte sens aucun contredit ou difficulte par noz amez et feaulx gens de noz comptes quil appartiendra. Non obstans autres dons ou bienffais par nous a lui autreffois fais non exprimez en ces presentes. Et ordonnances, mandemens ou deffences a ce contraires. En tesmoing de ce nous avons fait mettre notre scel a ces presentes. Donne a Paris le XXVe jour de may lan de grace mil quatre cens et six. Ainsi signe par monseigneur le duc. J. de Saulx. Collacionne estre faite aux lettres originaulx dessus transcript le XIXe jour de may lan mil IIIIc et sept par moy. Bordes.[Dos : Jehan Chousat, conseiller, tresorier et general gouvernement des finances de monseigneur le duc de Bourgoingne, Conte de Flandres, Dartois et de Bourgoingne, Jehan de Pressy, commis a la Recepte generale desdites finances, a complissez de ces presentes par la maniere que mondit seigneur le mande. Escript le XIXe jour de may mil CCCC et six. Chousat]""";Paris;Pension de 160 fr./an, payée en deux termes (Saint-André et le dernier jour de mai). Le premier terme commencera à la Saint-André 1406;;;25 May 1406;ADCO, B 370, liasse 1, c. 1075
52;Jean sans Peur;;192;Jean, dit Le bâtard du Bochet;Ecuyer et panetier du duc;"""Copie. Jehan duc de Bourgoingne, Conte de Flandres, Dartois et de Bourgoingne palatin, seigneur de Salins et de Malines. A tous ceulx que ces presentes lettres verront salus. Notre ame et feal escuier et panetier Jehan du Boschet nous a fait remonstrer, disant que les gaiges ordinaires quil prent de nous par les escroes de la despense de notre hostel chacun jour quil nous sers audit office de panetier lui sont de si petite revenue que sans aucune creue ou pension au regard des frais, missions et despens qui lui convient en maintes manieres supporter en notre service il en icellui ne pouvoit honnorablement ainsi que ason dit office appartient soustenir sont estat. Savoir faisons que Nous, considerans les bons et agreables services que ledit Jehan du Boschet Nous a faiz longuement et loialment tant oudit office de panetier comme autrement en pluseurs manieres, fait chacun jour et mesmement afin quil soit plus astraint et oblige et ait mieulx de quoy y continuer, perseverer et soustenir honnorablement son dit estat en notre service dessus dit, et pour certaines autres causes et consideracions qui adce ont mieu et mesement a iclli Jehan du Boschet, notre escuier et panetier, avons ordonne et ordonnons par ces presentes quil ait et prengne oultre par dessus ses diz gaiges quil prent de nous par les escroes de la despense de notre dit hostel de pension chacun an de Nous tant quil nous plaira, la somme de huit vins frans dor a deux termes en lan. Cest assavoir a la saint Andry diver et au derrenier jour de may, dont le premier terme et payement voulons escheoir a la saint Andry diver prochainement venant. Par ainsi toutefuoyes que le dessus nomme Jehan du Boschet ne sera tenuz de nous demander aucunz dons ou bienffaiz pour perte de chevaulx, ne autrement et quelque maniere que ce soit fors seulement een augmentation de mariage et rachatement de prison de lui ou daucuns de ses enffans, lesquelx dons ou bienffaiz se doresenavant par importunite de prieres ou autrement faiz lui estoient que par la maniere que dit est voulons estre de mil effect et valeur desmaintenant par ces mesmes presentes. Mandons et expressement evioingnons a notre ame et feal Chancellier present et advenir que les lettres diceulx dons ou bienffaiz casse, chancelle et mectre au neant. Si donnons en mandement a notre ame et feal conseiller, tresorier et gouverneur general de noz finances present et advenir que la devant dite pension de VIIIxx fr. dor paie, baille et delivre ou par aucuns de noz Receveurs particuliers face paier, bailler et delivrer au devant dit Jehan du Boschet aux termes et en la maniere dessusdite. Et par rapportant pour la premiere foiz seulement vidimus de ces presentes fait soubz scel autentique ou copie collacionnee par lun de noz secretaires en la chambre de noz comptes avec quictance dudit Jehan du Boschet de chacun terme et paiement. Nous voulons tout ce que ainsi paie lui aura estre estre alloue es comptes du payant et rabatu de sa Recepte sanz aucun contredit ou difficulte par noz amez et feaulx les gens de noz comptes a Dijon, non obstant autres dons ou bienffaiz par nous a lui autreffoiz faiz non exprimez en ces presentes et ordonnances, mandemens ou deffenses adce contraire. En tesmoing de ce Nous avons fait mettre notre scela ces presentes. Donne a Paris le XXVe jour de may lan de grace mil CCCC et six. Ainsi signe par monseigneur le duc. J. de Sauls. Collacion est faite de ceste presente copie aux lettres originaulx dessus transcriptes le IIIe jour de mars lan mil CCCC et six par moy G. Viguier. [Dos : Jehan Chousat, conseiller, tresorier et general gouverneur des finances de monseigneur le duc de Bourgoingne, Conte de Flandres, Dartois, Jehan de Pressy, commis a la Recepte general desdites finances. Accomplissez le contenu au blanc de ces presentes par la maniere que mondit seigneur le mande. Escript le VIe jour de mars lan mil CCCC et six. Pierre de Montbertault, conseiller, tresorier et general gouverneur des finances de mondit seigneur le duc, Conte de Flandres, Dartoiz et de Bourgoingne, Jehan de Pressy, Receveur general desdites fiannces. Accomplissez le contenu au blanc de ces presentes par la somme et maniere que mondit seigneur le mande. Escript le jour de lan mil CCCC et sept. P. Montbertaut"" / Pension annuelle de 160 fr./an, payée en deux termes (la Saint-André et le dernier jour de mai). L'octroi de cette pension précise que ledit Jean du Bochet ""sera tenus de demander a mon dit seigneur aucuns dons ou bienffaiz pour pertes de chevaux ne autrement en quelque maniere que ce soit fors seulement en augmentacion de mariage et rachetement de prison de lui ou de ses enffans lesquelz dons ou bienffais se dorenavant par importuinte de prieres ou autrement lui estoient fais que par la maniere que dessus est dit ycelui seigneur voeult estre de mil effect et valeur""";Paris;Pension de 160 fr./an, payée en deux termes (Saint-André et le dernier jour de mai);;;25 May 1406;ADCO, B 388, liasse 2, c. 68 / ADCO, B 1554, f° 59 v°
53;Jean sans Peur;;677;Baudouin, dit Beaugois d'Ailly;Chevalier, conseiller et chambellan du duc, vidame d'Amiens;Paiement d'une partie de sa pension;Aucune mention;100 fr.;;;13 June 1406;ADCO, B 1543, f° 70 r°
54;Jean sans Peur;;275;Regnaudin Doriac;Conseiller du duc;Paiement d'une partie de sa pension;Aucune mention;150 fr.;;;8 July 1406;ADCO, B 1543, f° 69 v°
55;Jean sans Peur;;276;Jean de Velery;Maître de la chambre aux deniers du duc;"""Auquel ycelui seigneur par ses lettres donneez a Paris le 9e jour de de juillet 1406 et pour les causes contenues en ycelles lui a ordonne prendre et avoir de lui de pencion tant quil exercera ledit office et quil plaira a mondit seigneur la somme de 200 fr. chacun an a paier a deux termes en lan par porcion de temps non obstant les gages quil prent ordinairement par les escroues de la despense de lostel de mondit seigneur""";Paris;Pension de 200 fr/an, payée en deux termes;;;9 July 1406;ADCO, B 1547, f° 81 v°
56;Jean sans Peur;;77;Jean de La Chapelle;Chevalier, conseiller et chambellan du duc;"""Lequel mondit seigneur par ses lettres donnees a Paris en son hostel Dartois le 10e jour de juillet 1406 tant pour consideracion des bons et notables services quil lui a faiz le temps passe fait chacun jour continuelment e espere que encore face ou temps avenir comme aussi afin que dorenavant il soit plus astraint oblegie a le servir diligemment et qil ait mieulx de quoy maintenir e soustenir son estat en son service a donne et ottroye la somme de 500 fr. de pension par an tant comme il lui plaira a prendre par les mains de son receveur general de ses finances a deux termes en lan cest assavoir Saint Remy et Pasques a chacun terme 250 fr. dont mondit seigneur veult commence le premier paiement audit terme de Saint Remy e Pasques 1406 en oultre pardessus les gaiges ordinaires et autres bienffais que ledit chevalier a peut avoir et aura de mondit seigneur si comme oultres choses et autres sont plus a plain contenues et declairees esidctes lettres dudit seigneur desquelles la coppie ou transcept dicelles collacionne par lun des secretaires de mondit seigneur est cy rendu""";Paris;Pension de 500 fr./an, payée en deux termes (Saint-Rémi et Pâques);;;10 July 1406;ADCO, B 1543, f° 73 r° et 73 v°
57;Jean sans Peur;;293;Jean de Chevenon;Ecuyer, conseiller et chambellan du duc;Paiement d'une partie de sa pension;Aucune mention;120 fr.;;;15 July 1406;ADCO, B 1543, f° 68 v°
58;Jean sans Peur;;502;Guillaume de Saint-Mesmes;Ecuyer et échanson du duc;Paiement d'une partie de sa pension;Aucune mention;10 fr.;;;20 July 1406;ADCO, B 1543, f° 69 v°
59;Jean sans Peur;;275;Regnaudin Doriac;Conseiller du duc;Paiement d'une partie de sa pension;Aucune mention;150 fr.;;;8 August 1406;ADCO, B 1543, f° 69 v°
60;Jean sans Peur;;406;Pons de Perellos;Chevalier, conseiller et chambellan du duc;Partie de pension;Aucune mention;413 fr. (partie de pension);;;14 August 1406;ADCO, B 1543, f° 68 r°
61;Jean sans Peur;;502;Guillaume de Saint-Mesmes;Ecuyer et échanson du duc;Paiement d'une partie de sa pension;Aucune mention;15 fr.;;;24 September 1406;ADCO, B 1543, f° 69 v°
62;Jean sans Peur;;677;Baudouin, dit Beaugois d'Ailly;Chevalier, conseiller et chambellan du duc, vidame d'Amiens;Paiement d'une partie de sa pension;Aucune mention;100 fr.;;;14 October 1406;ADCO, B 1543, f° 70 r°
63;Jean sans Peur;;1128;Jean de Saint-Aubin;Chevalier et chambellan du duc;Paiement d'une partie de sa pension (ici la Saint-Rémi);Aucune mention;134 fr.;;;18 October 1406;ADCO, B 1543, f° 70 v°
64;Jean sans Peur;;359;Waléran III de Luxembourg;Comte de Ligny et de Saint-Pol;"""Lequel mon dit seigneur a retenu de son grant conseil aux gaige ou pension de 4000 fr. par an pour ce cy pour le paiement et acomplissement de lanniee et le premier jour du mois de janvier 1405 par lettre dudit monseigneur Waleran donne le 14e jour dudit mois de janvier 2000 fr. et pour ce que pour aucune necessite qui survindrent a mondit seigneur de Saint-Pol [...] que mondit seigneur lot retenu a sadicte pension pour le servir et acompaignier toutefoiz que necest soit e quil luy plairoit icelluy monseigneur de Saint-Pol luy requeste que sur la dicte pension mondit seigneur luy fist faict paiement desdis 2000 fr. et a mon dit les autres 2000 fr. que a cause dicelle pension luy soient deuz en la dicte anniee pour quoy mon dit seigneur veull secourir ledit seigneur lui fist deslors baillier et delivrer par ledit 4000 fr. pour toute ladicte pension de ladicte anniee ia soit ce que les gens de mondit seigneur de Saint-Pol eussient perdues les lettres patentes que luy avoit mondit seigneur de la retenue et pension dessus dicte si comme ce et autres choses sont plus a plain declaire es lettres de mondit seigneur donnee a Hesdin le 27e jour dottobre 1406 par lesquelle il veult et mande ladicte somme de 2000 fr. estre alloue es compte par rapport ";Hesdin;Pension de 4000 fr./an;;;27 October 1406;ADCO, B 1543, f° 70 v°
65;Jean sans Peur;;559;Adolphe II de Clèves;Comte de Clèves et de La Marck;Somme correspondant à sa pension de 1000 écus/an.;Aucune mention;600 fr.;;;1 November 1406;ADCO, B 1547, f° 74 r°
66;Jean sans Peur;;406;Pons de Perellos;Chevalier, conseiller et chambellan du duc;Pension anuelle de 500 fr/an, pour le terme de la Saint-Rémi;Aucune mention;250 fr. (quittance);;;1 November 1406;ADCO, B 1554, f° 52 v°
67;Jean sans Peur;;416;Guy Armenier;Conseiller et maître des requêtes du duc;"""Lequel ycelui seigneur par ses lettres donneez a Saint-Omer le 2e jour de novembre lan 1406 et pour les causes contenues en ycelles a retenu oudit estat de maistre des requestes de son dit hostel aux prerogatives pour fis et emoluements qui y appartennent pour laquelle cause mondit seigneur a ordonne et voeult que ledit maistre Guy se tiengne le plus continuelement deuz lui en son hostel ou en la compaignie de monseigneur le chancelier pour lexpedicion des besoingnes qui affluent et afflueront en la chancellerie dicelli seigneur et pour ce faire lui a ordonne mondit seigneur prendre et avoir de lui de gages ou pencion chacun an comme il lui plaira la somme de 300 fr. a paier a deux termes cest assavoir au premier jour de may et au premier jour de novembre, le premier terme et paiement commencant le premier jour de may 1407""";Saint-Omer;Pension de 300 fr/an, payée en deux termes (le premier jour de mai et le premier jour de novembre);;;2 November 1406;ADCO, B 1547, f° 81 r° et 81 v°
68;Jean sans Peur;;67;Guillaume de Bours, dit Wittard;Chevalier, conseiller et chambellan du duc;Pension annuelle de 400 fr./an;Aucune mention;305 fr. (quittance);;;4 November 1406;ADCO, B 1554, f° 53 r°
69;Jean sans Peur;;77;Jean de La Chapelle;Chevalier, conseiller et chambellan du duc;Paiement d'une partie de sa pension (ici la Saint-Rémi 1407);Aucune mention;122 fr. 7 s. 6 d. t.;;;13 November 1406;ADCO, B 1543, f° 73 v°
70;Jean sans Peur;;67;Guillaume de Bours, dit Wittard;Chevalier, conseiller et chambellan du duc;Paiement d'une partie de sa pension (ici la Saint-Rémi);Aucune mention;100 fr.;;;14 November 1406;ADCO, B 1543, f° 70 r°
71;Jean sans Peur;;182;Jean Chousat;Trésorier général et gouverneur des finances du duc;"""Pour les causes et consideracions en ycelles contenues donnees le 5e jour du mois de novembre lan 1405 desquelles la coppie est escepte au commencement de ce present compte pour raison et acause duquel office mondit seigneur aiant regart ayx grans fraiz et charge que audit tresorier convient et conviendra supporter en plusieurs e diverses manieres pour le fait dudit office et pour les voiaiges que necessairement il aura a faire tant devers mondit seigneur comme a visiter les receptes et revenues dicellui seigneur et de ses pays toutefoiz que besoigne sa et afin quil puisse mieulx et plus honnorablement avoir et maintenir son estat ou service dicellui seigneur ledit seigneur lui a ordonne et tauxe chacun an tant quil lui plaira et que ledit tresorier aura la charge dudit office la somme de 500 escus dor de pension a yceulx prendre et avoir par ses mains des deus dernieres recepte et revenues a deux termes en lan cest assavoir pasques et St Remi dont ledit seigneur veult commencement le premier paiement a Pasques lan 1406 si comme toute ces choses et autres sont plus a plain contenues et declairee es lettres de mondit seigneur donnees a Paris le 17e jour dudit mois de novembre lan 1406 dont aussi la coppie est escepte cy devant au commancement [...] compte pour ce cy rendu""";Paris;Pension de 500 écus/an, payée en deux termes (Pâques et Saint-Rémi);;;17 November 1406;ADCO, B 1543, f° 72 v°
72;Jean sans Peur;;15;Jean Pioche;Chevalier et maître d'hôtel du duc;"""Pour ce pai audit messire Jehan Pioche sur sadicte pencion et pour le terme de Saint Andry 1406 par sa quittance cy rendue avec la coppie des dictes lettres colacionnnee par maistre George Dostende secretaire de mondit seigneur 120 fr. pour ce""";Aucune mention;120 fr. (partie de pension);;;30 November 1406;ADCO, B 1547, f° 77 v°
73;Jean sans Peur;;130;Philibert de Saint-Legier;Chevalier et maître d'hôtel du duc;"""Pour ce paie audit messire Philibert sur sadicte pencion et pour le terme de Saint Andry 1406 par sa quittance cy rendue avec la coppie des dictes lettres collacionnee par maistre Jehan de Maroilles secretaire de mondit seigneur pour ce""";Aucune mention;120 fr. (partie de pension);;;30 November 1406;ADCO, B 1547, f° 78 r°
74;Jean sans Peur;;550;Oudart de L'Espinace;Ecuyer et échanson du duc;"""Pour ce paie audit Oudart sur sadicte pencion pour le terme de la Saint Andry 1406 par sa quittance cy rendue avec coppie des dictes lettres collacionnee par maistre Guillaume Vignier secretaire de mondit seigneur""";Aucune mention;80 fr. (partie de pension);;;30 November 1406;ADCO, B 1547, f° 79 r°
75;Jean sans Peur;;537;Guyot de Savigny;Ecuyer d'écurie du duc;"""Pour ce paie audit Guiot pour le terme de Saint Andrieu 1406 par sa quittance cy rendue avec la coppie des dictes lettres collacionnee par maistre Guillaume Vignier secretaire de mondit seigneur""";Aucune mention;80 fr. (partie de pension);;;30 November 1406;ADCO, B 1547, f° 79 v°
76;Jean sans Peur;;67;Guillaume de Bours, dit Wittard;Chevalier, conseiller et chambellan du duc;Pension annuelle de 400 fr./an;Aucune mention;186 fr. 5 s. t. (quittance);;;20 décemmbre 1406;ADCO, B 1554, f° 53 r°
77;Jean sans Peur;;359;Waléran III de Luxembourg;Comte de Ligny et de Saint-Pol;Paiement d'une partie de sa pension;Aucune mention;2000 fr.;;;14 January 1407;ADCO, B 1543, f° 70 v°
78;Jean sans Peur;;252;Raoul de Cohakem;Seigneur de Cohakem, chevalier et chambellan du duc;Paiement de sa pension;Aucune mention;200 écus;;;18 January 1407;ADCO, B 1543, f° 68 v°
79;Jean sans Peur;;522;Maître Jean Petit ou Jean Le Petit;Docteur en théologie et maître des requêtes de l'hôtel du duc;Paiement pour sa pension de 100 fr./an;Aucune mention;50 l. t. (quittance);;;10 February 1407;ADCO, B 1556, f° 56 v°
80;Jean sans Peur;;522;Maître Jean Petit ou Jean Le Petit;Docteur en théologie et maître des requêtes de l'hôtel du duc;Paiement pour sa pension de 100 fr./an;Aucune mention;50 l. t. (quittance);;;10 February 1407;ADCO, B 1556, f° 56 v°
